JPY,CNY,HKD,MYR,NZD,SGD
161.22,7.8529,8.4067,4.8117,1.8821,1.4508
160.93,7.8431,8.3943,4.7872,1.9001,1.4492
161.6,7.8442,8.413,4.7992,1.9035,1.4519
162.64,7.8445,8.3988,4.7912,1.8845,1.4481
162.55,7.8361,8.3867,4.7794,1.8778,1.445
162.2,7.8381,8.3886,4.7785,1.8749,1.4439
162.32,7.8571,8.416,4.802,1.8834,1.4459
162.15,7.8513,8.4141,4.7994,1.8908,1.448
160.99,7.8477,8.4166,4.7866,1.8821,1.4452
160.85,7.8481,8.4189,4.7947,1.8896,1.4476
163.27,7.8786,8.4674,4.8339,1.8832,1.4526
163.5,7.8907,8.4833,4.8531,1.8777,1.4544
162.26,7.8869,8.4719,4.8464,1.8813,1.4522
161.88,7.8822,8.4635,4.8418,1.8985,1.4536
160.64,7.8493,8.4175,4.8064,1.9045,1.4484
162.23,7.8848,8.4579,4.823,1.9056,1.4527
161.52,7.8929,8.4784,4.8155,1.913,1.4535
159.39,7.8718,8.4241,4.7973,1.8917,1.4436
160.35,7.8561,8.4357,4.7934,1.9012,1.4448
159.24,7.8247,8.3922,4.7799,1.881,1.4387
160.09,7.7675,8.3106,4.7369,1.8832,1.4301
156.5,7.6614,8.2056,4.7153,1.872,1.4151
158.33,7.6282,8.1386,4.6737,1.8669,1.4106
156.96,7.5782,8.098,4.6459,1.8579,1.4037
156.73,7.6127,8.1446,4.6565,1.8434,1.4049
156.7,7.6125,8.1516,4.6447,1.8419,1.4035
157.19,7.6219,8.1609,4.6449,1.8337,1.4047
156.81,7.5879,8.1356,4.616,1.8213,1.4002
157.46,7.5933,8.1327,4.624,1.8186,1.3994
156.6,7.5807,8.1211,4.6262,1.8227,1.3966
158.41,7.6017,8.1148,4.6343,1.8252,1.4008
158.55,7.6056,8.1235,4.6442,1.8338,1.4036
158.67,7.6066,8.1481,4.6437,1.8263,1.405
160.09,7.6141,8.1554,4.647,1.8352,1.4052
159.79,7.5817,8.0926,4.6287,1.8447,1.4033
159.22,7.5794,8.0769,4.6354,1.8391,1.4031
157.28,7.544,8.0452,4.6148,1.8284,1.3995
156.92,7.5395,8.04,4.613,1.8257,1.3972
157.77,7.5634,8.0828,4.6074,1.8287,1.4021
157.95,7.5511,8.0668,4.5947,1.8317,1.4027
159.25,7.5797,8.1162,4.6091,1.8321,1.4053
160.52,7.4943,8.0489,4.5929,1.8418,1.4015
158.87,7.45,8.0072,4.5976,1.8424,1.4024
160.99,7.5363,8.099,4.6301,1.8391,1.4091
160.32,7.5436,8.105,4.57,1.8408,1.4048
161.5,7.5385,8.0992,4.567,1.8426,1.4051
161.86,7.5517,8.1189,4.5779,1.8439,1.4087
162.21,7.6306,8.1987,4.6106,1.8464,1.4134
163.9,7.5891,8.1559,4.5841,1.8364,1.4129
162.58,7.5829,8.1045,4.6235,1.8377,1.4114
162.72,7.5892,8.1322,4.633,1.8387,1.4126
161.26,7.5443,8.0636,4.6353,1.8406,1.4078
161.36,7.5431,8.0301,4.635,1.8407,1.4077
160.23,7.5474,8.0194,4.6403,1.8435,1.4083
160.46,7.5311,8.0007,4.625,1.8389,1.4061
161.75,7.5515,8.0201,4.634,1.8381,1.4089
161.63,7.5108,7.9761,4.6154,1.8324,1.4036
160.22,7.4771,7.9412,4.5993,1.8358,1.401
162.86,7.5542,8.0224,4.6332,1.8454,1.4092
162.56,7.5558,8.0189,4.6403,1.8417,1.4102
162.94,7.5413,8.0018,4.6313,1.8383,1.4096
163.86,7.6142,8.0824,4.6639,1.8317,1.415
163.25,7.6284,8.1035,4.7032,1.8354,1.4168
161.77,7.5371,8.0122,4.6346,1.8366,1.4113
162.04,7.5338,8.0261,4.6223,1.8402,1.4091
163.06,7.5833,8.0686,4.6454,1.8532,1.4164
164.57,7.6234,8.1065,4.6632,1.847,1.4166
164.65,7.6169,8.099,4.666,1.8508,1.4174
163.25,7.5843,8.0743,4.6642,1.8429,1.4129
163.36,7.5861,8.0757,4.6665,1.8429,1.4103
162.89,7.5831,8.0755,4.6838,1.8445,1.41
163.07,7.5858,8.0785,4.6835,1.8387,1.4131
161.52,7.6463,8.1563,4.6917,1.8303,1.4177
161.63,7.6464,8.1571,4.6885,1.8229,1.4181
161.73,7.6463,8.1625,4.6742,1.8189,1.4173
161.45,7.651,8.1777,4.6805,1.8218,1.417
159.6,7.6272,8.1575,4.6549,1.8114,1.4108
160.35,7.6318,8.1677,4.6578,1.818,1.4114
159.74,7.6354,8.1858,4.6614,1.8083,1.4118
159.4,7.677,8.2164,4.6763,1.803,1.4157
159.25,7.6852,8.2314,4.6763,1.8113,1.4174
158.52,7.6577,8.2027,4.6666,1.7985,1.4133
158.59,7.6285,8.167,4.6716,1.7987,1.4135
157.3,7.6589,8.1818,4.6989,1.7873,1.414
157.74,7.6421,8.1753,4.6851,1.7842,1.4138
158.64,7.6484,8.2211,4.6948,1.7873,1.4159
159.89,7.6403,8.2046,4.688,1.7912,1.4165
159.65,7.6347,8.1949,4.6784,1.7893,1.4147
161.13,7.6265,8.187,4.6902,1.796,1.4153
161.64,7.6018,8.1659,4.6724,1.7926,1.4128
160.84,7.5458,8.1052,4.6516,1.7824,1.4034
162.53,7.6204,8.1921,4.6999,1.7924,1.4144
164.42,7.6528,8.2208,4.7228,1.7947,1.4173
162.71,7.6578,8.2335,4.7315,1.7949,1.4163
163.74,7.6442,8.214,4.7278,1.8062,1.4186
164.36,7.6492,8.2385,4.7311,1.8015,1.4187
164.24,7.6267,8.1975,4.7193,1.7958,1.4175
164.71,7.6626,8.2682,4.7278,1.7941,1.4214
163.71,7.6781,8.2586,4.7139,1.7848,1.4204
163.82,7.6719,8.2812,4.6971,1.7857,1.4197
164.18,7.7233,8.3745,4.7208,1.797,1.4251
165.71,7.7159,8.3818,4.7492,1.7932,1.4258
165.05,7.6779,8.3167,4.7095,1.7997,1.4281
165.93,7.7405,8.4687,4.7353,1.8169,1.4351
165.47,7.7363,8.4761,4.7678,1.8196,1.4356
165.54,7.7403,8.466,4.766,1.8164,1.4392
166.3,7.7436,8.4598,4.7652,1.822,1.4377
165.91,7.7054,8.405,4.7359,1.8099,1.4329
165.66,7.6895,8.3716,4.7172,1.8076,1.4287
165.18,7.7099,8.4072,4.7177,1.8059,1.4302
164.45,7.7123,8.411,4.7024,1.8025,1.429
164.12,7.6848,8.3926,4.6963,1.7914,1.4249
164.66,7.6759,8.3656,4.6836,1.7918,1.4237
163.22,7.7052,8.411,4.6833,1.787,1.4231
162.79,7.7198,8.4351,4.6744,1.792,1.4246
162.75,7.7065,8.427,4.6691,1.7865,1.4235
162.5,7.7385,8.4477,4.6832,1.7903,1.4261
162.57,7.7511,8.4676,4.6803,1.7924,1.4264
162.85,7.7574,8.469,4.6986,1.7902,1.4271
163.39,7.7332,8.4718,4.688,1.7948,1.4277
162.94,7.7282,8.5001,4.6897,1.7941,1.4283
162.85,7.7376,8.496,4.6915,1.7998,1.43
162.97,7.7435,8.5176,4.6923,1.8038,1.4294
162.49,7.7449,8.537,4.7074,1.7933,1.4307
162.63,7.7077,8.5291,4.7036,1.7847,1.4304
161.69,7.7407,8.5629,4.6542,1.7779,1.4314
161.98,7.7477,8.5734,4.6601,1.7749,1.4315
160.26,7.7702,8.5947,4.6205,1.7614,1.4266
159.37,7.7807,8.6181,4.6168,1.7548,1.4268
159.82,7.8511,8.6933,4.6167,1.7616,1.4342
159.63,7.823,8.6737,4.6027,1.7649,1.4305
160.78,7.8213,8.6773,4.6237,1.7691,1.4328
161.49,7.8692,8.716,4.6242,1.7725,1.4378
160.14,7.829,8.6668,4.6246,1.7707,1.4341
159.58,7.8438,8.6576,4.6733,1.777,1.4357
161.08,7.8776,8.7022,4.6953,1.7919,1.4426
159.53,7.8827,8.6952,4.6967,1.7845,1.4415
157.94,7.8797,8.6692,4.721,1.7877,1.4395
156.71,7.9046,8.6796,4.7441,1.7965,1.4407
155.66,7.8953,8.6723,4.7858,1.7958,1.4407
156.17,7.8634,8.6411,4.7665,1.7973,1.4404
157.02,7.8441,8.5945,4.7746,1.796,1.438
156.6,7.8534,8.6106,4.7816,1.7966,1.4385
157.81,7.853,8.6004,4.7902,1.7921,1.4397
158.53,7.8589,8.6101,4.8274,1.8004,1.4428
158.93,7.865,8.6526,4.8082,1.7858,1.4428
159.2,7.8739,8.6493,4.8136,1.7874,1.4444
160.26,7.8648,8.6174,4.8101,1.7861,1.444
